# Constructed from biom file
#OTU ID	ERR2585962	ERR2585963	ERR2585964	ERR2585965	ERR2585966	ERR2585967	ERR2585968	ERR2585969	ERR2585970	ERR2585971	ERR2585972	ERR2585973	ERR2585974	ERR2585975	ERR2585976	ERR2585977	ERR2585978	ERR2585979	ERR2585980	ERR2585981	ERR2585982	ERR2585983	ERR2585984	ERR2585985	ERR2585986	ERR2585987	ERR2585988	ERR2585989
PPGPPMET-PWY	1948.6060231611038	3237.123039109082	5488.43036310398	3128.9256179304653	27928.6155023875	2747.6276741094316	3550.092919897784	3904.777623709417	1318.8264210904322	2354.3530657932192	2220.2001162108654	2541.6023926132243	6353.0065824689145	84.90359021821715	3640.2260341549086	1015.8982959985416	2554.977513541969	2670.207424176894	3581.6324163942304	2671.9971639053488	1163.1425176132875	534.3942384281696	1873.6341051603804	1653.145493088505	1735.4388707397359	384.57181875929194	3502.199780595706	2635.4317465242193
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	2302.089388574473	2861.0427298539926	1230.4422094793508	5680.839700586122	184.54540822267165	2424.6573287372257	113.83417233067561	580.9273620255982	294.54417553554	6925.663951440104	2639.476214469538	3016.2586047450354	1897.4678166079818	195.73419155606814	2361.7992909599607	299.0822460886017	3608.705241576511	5177.619313109037	971.8717845834451	1148.5066689424405	293.0339563211921	312.4425721163014	315.32410302689635	461.91639807493556	335.31725991137887	87.86128240827819	567.1564369427286	1933.521371545923
PRPP-PWY	21397.03709547482	21459.08824039077	18489.17031787055	32478.918987502566	36920.51262336357	30209.996616088512	9023.30727487185	28086.384962345688	19346.9888499499	28016.532891097602	18821.816785205803	26285.386725642522	25381.427017713144	1195.8839921128701	29297.133835544202	20346.598436877648	26304.999482810774	32849.02751347315	14584.758589638279	15211.616704389033	8755.335730205343	25234.475489787103	13009.752378848321	15577.49001213926	25551.24716153896	16324.90936341042	16148.750850963705	28095.017004750553
PWY-1269	23298.116724279495	20583.821277298717	15148.697192069687	22347.26497118624	25557.726099395848	24774.580691015915	20017.983594022397	22213.66895960589	23812.69833760174	9839.85335429747	16398.458186032978	19708.872160488027	23279.097027037304	1002.5160660420803	28398.446614714896	29642.044496917184	17493.483671593316	17554.26945643012	20988.92650568847	15667.455502824449	9433.98336975404	32187.845452364494	17660.39914325907	21339.387108590912	28416.089801741964	15420.013008445103	15275.50192443864	24051.840517291384
PWY-1361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.585580181447678	0.0	0.0	0.0	0.056732843241584216	0.0	0.0	0.0	2.9170288983453125	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1422	84.21339338065764	66.52388612686053	90.54826521995427	203.30935180637886	0.0	48.76252283437611	165.87383281911815	75.6881194679174	31.446750561766454	34.0864548127846	66.94084667485883	154.5803645046381	481.83277717360784	1.0357751948800091	153.98551437839848	74.66234915945105	124.5319889739282	2.2676749826149494	43.91955908415521	60.77111237904828	18.19877375538129	32.777543365998966	35.684013861931156	27.472785901704285	55.589774646002425	1.1337459944073818	158.9833968344026	147.9529899619949
PWY-1501	6.940161221609473	3.411688794425627e-08	57.453749325519205	0.0	2.374536082728427	0.18822337889820429	1.4340667999492339e-09	4.562495599845435e-09	0.0	16.70294606379764	8.483999999999889e-13	0.0	0.0	6.029590540482308	11.497230893911908	0.0	0.3039153419529337	1.5278799999978432e-11	0.18899361118204883	0.0	0.0	0.0	0.0	2.5769511998343292e-09	7.170335999876945e-10	0.0	0.0	0.0
PWY-1541	94.48097760491733	113.32843888169185	30.158458595030197	30.393957755381212	0.16920465396122622	27.575203376435976	312.3403378979286	191.9150862382469	424.6185685128766	101.04161468717254	32.5675025155799	21.99117054365513	412.642536270086	3.1663483131150194	156.00371213193358	18.883189883672987	145.31051530658164	2.627579553409625	370.8652487505517	45.63641705209331	304.81298336965347	44.30043506491165	3.1393100306538226	220.40835670633027	57.547732523500756	4.944415259796244	42.933618468935556	24.127157493132255
PWY-1622	595.8917195333746	589.5715060223531	628.2430588147232	601.032926355595	16.708801070740144	615.296933205607	1170.1003762542502	536.25892480936	1094.8073149708412	1166.9860049289614	147.55200380296765	933.7051824942306	879.5178163419389	11.510688215005375	806.2815663944945	396.8520270287299	1035.5684265477378	4443.2236445712715	771.1352445442164	888.2976345815538	777.5718589547694	570.1500429572152	358.20755711136513	415.6018010015027	107.57597868157552	41.024239853785026	316.26818031466	831.1649848455455
PWY-181	3443.2465333868154	1427.6844743263414	2479.3093537985887	7638.4978336806635	104.18806309081467	4621.761429402931	4931.028671325828	1324.3952313407376	2547.2549731823888	10935.458413728777	278.65031683760884	5334.81822654229	5115.0990388564705	20.18390041010131	3568.075843585298	690.7692585875932	7615.401458697396	10819.03767753477	3040.4808436826693	2883.370181531657	2584.976553447122	953.7105351001383	704.8709710372948	1374.0546036115988	180.81643779271667	65.99941499197813	574.2427229617339	4150.6035287595005
PWY-1861	7897.623221855764	7356.066501841007	17631.661178908802	16027.48744987302	2010.1553345572602	10458.33266052323	12971.385623714637	12017.321091527108	7999.954274105469	14157.281073606426	8068.740271754781	9482.295506078397	10780.357595473768	1485.2456097941429	8338.368164295875	9796.147581378173	10396.93114287538	8084.258559006059	6945.33980164533	6321.881837987725	9788.306148917232	8766.845660318439	6035.641887325762	9845.77844630034	11248.351361465006	11420.092261244476	9104.162632081572	7822.369502886059
PWY-1882	0.008779008140064319	0.0	4.547234248145205e-09	0.0	0.00028780826419142684	0.012590564515267298	0.02052341622470239	0.0	5.391159980415847e-10	0.00239357901095595	0.0035962843010689262	0.000855319524188792	2.013797464842312	0.024598513720103916	0.06730593705720314	0.0006108118969215976	0.34734496125189623	0.00018621944751158316	0.013093743748566223	0.000753243763652355	0.68716754060818	1.2696814942148814e-09	0.0	0.0	0.0	0.0007536867922418457	0.0	0.0
PWY-2201	0.01544404683783092	0.007722024308173989	0.007722024050403725	0.0	2.6121023952287463	0.18100004356823873	278.419746572055	0.04912235419138626	0.0	0.08880556462819177	0.0	0.0	0.0	0.5686737619527847	0.10635704382081446	0.0	0.0	0.0	0.07099204120276618	0.0	0.0	0.0	0.0	0.027749824054334224	0.007722024587999094	0.0	0.0	0.0
PWY-2221	0.005522944544805026	115.91535118432495	89.45583830954949	140.58892498805855	0.0	0.1579870985453692	0.006132291674554677	0.017573538771276053	2.5352972946275355e-05	5.019656010232816e-05	6.898962127770136e-05	474.4236800684396	765.798339192949	0.0033907380452850183	379.28374268679426	301.31375458528146	545.1170005360408	100.26636247960676	927.7139148832543	1.4311760973115372e-05	156.01432251928603	0.04539224831714009	332.10950086139223	531.7407390747613	11.830290181227246	0.00015023798260487738	1.4805208722617162e-05	1050.6242642266538
PWY-2941	29739.771686616143	24053.711709930423	25836.296661318425	23088.092366846613	25725.56571357414	23296.837518772354	27903.829404946606	25987.45262467159	27376.93182036422	55327.72558392338	25875.399666182875	33362.02625069339	18732.436704850566	3654.2137548890373	31358.700162584704	30995.987964862314	18087.672156197284	35940.712333585376	30224.87016731268	26030.57546286861	16525.083007505535	17360.15609878504	11609.295731063163	10058.313321900261	34871.66120502924	19237.81011626675	22486.494183469615	34316.82058915132
PWY-2942	60018.68921194786	54312.738042901095	44246.103643844435	62915.280874115204	43128.0613119166	63218.56046736306	62716.37786588115	64450.94641671309	63919.764117632025	81051.18881000186	51884.40221593626	59760.342391157734	60089.29744129271	6039.341946180088	63929.28638468625	72766.90033549642	48060.42124669352	68412.55151139524	54428.82926113677	47010.25307992061	34138.419416235716	68770.57210022397	42502.2008744873	51030.733103978855	71137.35800087871	61261.29437364418	50694.90628969301	64764.75779563406
PWY-3001	53365.854369253444	47264.03090633121	38594.011659406395	58447.96821233047	42400.01055113502	56477.25520582408	55497.18513334106	58777.31287882645	59017.41450551886	69058.40335824071	45571.97154304762	51587.717807725785	56110.32307558958	5221.312127311311	56719.008239570765	65535.34068023353	42870.11011125691	61660.04947764072	46598.56553625828	41687.532433433786	29696.136784300736	66069.1645280841	40544.46867955231	48791.19509373172	61555.362151628	57592.26357590029	43799.100896566524	55248.42712300924
PWY-3081	1.828761470870395	0.0	1.0626407481480722	0.0	0.0	2.7375755029717856	1.1169133677426961	0.0028191084527211126	0.0	0.0	0.0	0.0	0.0	0.0	1.1209991215218291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015790511339322708	0.0	0.0	0.0	0.0
PWY-3661	4.311616758527167	0.8911275279369874	1.2603084900557247	2.7564088901001305	2.958507486062991	0.6755768293921242	2.427996147336133	1.7263333743180216	24.701394381324427	0.5498986269145975	1.0286947572775171	2.096513013261254	592.8203459455066	2.030151162318998	253.97395595938266	1.0794477681415098	279.2591469968252	0.0361569745831895	0.5976050943496076	0.7958053505988352	416.3082570843025	0.6189114374176604	0.5017618210901719	0.5983364711054415	0.8335332670078591	0.04486123265353378	2.284126588648015	2.0521453156746126
PWY-3781	13079.329403645528	13001.652032478692	8354.873180515717	31023.167153268638	2256.6506222050616	15077.992054908986	6601.7889046341625	5963.337505923493	2324.187740014192	35146.538318537314	11602.351538128867	18916.025728649078	17014.963233856237	1214.1031034052698	15957.777628657603	2879.1138942360894	23526.83808415281	32673.84743810832	6429.386311718161	8673.138525471426	2938.309587274428	1298.2087910086063	2026.6235988380236	3155.0773134876968	1715.73947753401	273.39230247793023	5284.363790933984	14053.748877050266
PWY-3801	19025.63581581897	2225.882107016631	2460.451232931464	2740.961719569503	0.7473485738189533	290.1950069327651	978.7329906311588	6522.125571411071	10968.524231774383	201.8912754429569	397.298019087172	1317.7362758426762	8444.189276783727	298.86768347620205	5443.909441204889	6522.562671328186	723.0666249279109	1376.415963643374	12936.656251825385	343.8938155499969	395.89330849611576	224.41859825953614	4647.671308081349	8509.872840656717	1966.0650572697903	6.88719306368626	980.7121256401849	3518.298504024719
PWY-3941	0.18677310083204376	0.01588722308052069	1.4604263761622749	0.2526549548947805	2.8636234966004768	0.03367125677337175	2.280533145121789	2.0195337591857436	0.04883914962070309	0.07213914940024937	14.602155289830169	0.03214677290497259	3.577378911275862	0.15067341483372093	0.2314210834436516	0.0983737322274587	0.12247865240762695	4.169129842876176	9.585839913536983	16.682630931063414	28.881874569284527	0.1287480781313258	0.018987238421177638	0.2642225168179844	0.2140418690022499	0.03857576056885449	0.4385528641297808	0.49697652497789413
PWY-4361	187.29831305075007	108.32831113473469	317.02842082411127	439.7219899238599	18.04123016877611	377.2925032929615	560.1436495784925	197.26802882817358	68.37986951337109	180.03045987195935	88.1634157440303	135.13587622941657	628.6778870683062	3.0677312952652858	416.7163348596346	113.8069116194076	248.63129370024762	4.738093359670658	137.245130450545	124.23014255017507	90.14518950506795	48.130575894274536	59.32227443217987	90.74802783897432	119.28248258941736	3.9991102634088715	200.5185836307725	286.0360564984526
PWY-4722	22.58554370674174	4.289490193468299	42.83766942239946	105.05634014285278	290.2000296295157	98.6047554862885	185.1372565962714	158.21704776897488	0.14970419139517258	232.77738726645472	123.2310187636381	111.02776687417895	229.16947597183153	2.181326772190617	2.1837498225663325	11.924640731751134	11.931202824584078	100.20607231321027	181.0116673792157	83.53291825849854	77.07322867650599	19.784020254210105	6.3937504205639994	14.744964051024612	25.265005608851713	24.196965060011507	24.013815448618224	176.81804634727635
PWY-4984	13459.858402441807	11132.998254622033	5195.488114671632	14411.386834064475	9109.462618710397	7411.315976958487	12943.803908227817	12709.408696325829	8515.863361686073	9328.637163184085	10965.641894644694	7675.338748773801	17210.729031445517	1090.2007965342802	9418.523394912141	9826.458120315692	8853.497712631413	13286.831935891762	9332.533681770316	3874.787705532404	5990.064985797669	24080.42141437494	7026.124525403646	10931.147063390059	6626.927755123089	20414.78148216548	5593.69365869602	9892.053044653136
PWY-5005	1407.373659156364	3881.0774354738346	2833.889268322223	2814.876167410089	817.8306184197107	3648.8638081156446	5726.578430670843	2700.4047613118023	13880.088793155055	3605.8478421941754	1844.832230852313	2609.887401507413	5298.9474319910605	236.50767002734514	1868.8375869002773	15802.643093529176	2123.00428163408	10571.909308148097	2844.600081027901	4207.759104053711	2259.5949235955204	12184.556695425314	3096.2347135005534	4151.861913426783	2621.822080017859	6981.2922090637085	3309.2415631189097	2682.844490854226
PWY-5022	7249.896515033606	8655.997749876737	6146.830197157747	16876.238101890794	4243.362996354439	9181.294667418726	10515.071334739026	11566.990520138359	10418.418566011393	12770.431791907466	6410.860946275219	7887.589756860017	12417.660793773111	840.463179718812	6245.43278282383	9824.503005647948	9789.672224593389	11127.568762316954	4661.927507231052	6868.0615192756195	5381.572062000111	4245.5669805666985	3787.2057909017335	7495.258479954909	4311.833554966757	1803.596302461785	6821.7778132437425	7944.67530645748
PWY-5028	30.92788658293695	36.79241512369255	519.7225423143786	137.41208789642792	33.63278748683173	5.7082414996134805	52.83320269300367	43.2151495464377	18.91106589951614	132.62044830632976	13.404049299161196	13.902061384802163	120.75028141242166	25.384166466694122	122.07612659065698	7.1142557868234375	51.716453260707254	46.19706688960905	18.96496344945835	5.163151290894343	63.40430580524021	3.340887728347056	21.907225734914725	7.838008892604901	19.861994860317633	0.10303499648808569	43.95041119922834	13.40050330076196
PWY-5088	35.24529192968007	28.054901864362684	38.42842002779356	8.731145611865767	89.61006425602675	13.995407410111165	535.2225640972565	72.24959614324824	4685.268840147698	49.85312014797205	15.685033532776893	21.180573821083524	1229.3379955005732	3.709513133794872	9.996080179711438	4135.094963303103	20.862712567304847	2.0586069309918678	144.2372656907108	1863.1563740950644	7.998095439062168	13.205915173974487	1.084238018932327	32.7171323572887	11.757489489964394	68.65573945248966	5.928091426450249	9.655559939476158
PWY-5097	58865.20305190042	52518.280386431055	43024.5978984015	59251.78524677623	34174.51895850712	61309.92628691714	59129.6028873896	61420.93245973411	62814.86848077672	78992.42339714292	49953.582990769915	58177.34464384803	57725.21205595094	5821.022558887886	61989.07322579846	68779.95420892371	46584.26710615313	67130.96252143104	53248.280361412755	45636.105577111404	32721.16531616447	67266.28634153689	41698.67627051	48621.5231354546	68844.31081744014	59342.04253807678	48197.74732878837	62296.27137323408
PWY-5100	56686.331859047896	52609.64980699852	42470.05127642569	64803.65726281486	37996.91349903468	61137.599568227684	64161.072196986934	67788.26995593292	63134.725722997355	79800.78422499709	50055.30214644259	56397.837046016866	58936.1373273819	7030.769489199495	60418.356089775676	64107.61373095208	45311.404199530094	60716.18309382309	50508.10540961854	44294.34793411216	35976.49347956993	65366.81172466967	42225.468013226164	51572.42449888766	69151.86996057791	59408.345841990966	52648.7983671161	61249.83097255153
PWY-5101	67394.67429280792	62540.86880348351	49332.15028217538	75000.45211294723	47777.24253363945	71914.67186741704	71710.52600161714	72577.50853793236	74378.156905831	95891.12955698323	59534.527659481726	67229.03923052124	68781.30495706452	7038.319874044092	72451.96088366357	84560.58671854566	57010.418592327354	83459.6003114186	59677.037831739406	53410.92688526725	39155.131658067396	81277.53489075534	49872.28101063714	57473.38699398126	78250.71762266735	79200.61692481556	57150.587722926386	71939.2729803085
