# Constructed from biom file
#OTU ID	SRR13247365	SRR13247365C	SRR13247372	SRR13247372C	SRR13247410	SRR13247410C	SRR13247414	SRR13247414C	SRR13247420	SRR13247420C	SRR13247432	SRR13247432C	SRR13247439	SRR13247439C	SRR13247459	SRR13247459C	SRR13247464	SRR13247464C
PWY-6641	3184.2096941983655	3184.2096941983655	971.064852451216	971.064852451216	9.530778170755477	9.530778170755477	11.747732668759495	11.747732668759495	1452.6876313513865	1452.6876313513865	249.74870143990825	249.74870143990825	23.348830139219036	23.348830139219036	326.932349138704	326.932349138704	269.8767706698217	269.8767706698217
PWY-6654	3.88559257461809	3.88559257461809	8.913661948191523	8.913661948191523	1.0002061515177874	1.0002061515177874	1.17152204304034	1.17152204304034	2.0000029554144843	2.0000029554144843	0.3715199207473063	0.3715199207473063	1.0675474622183991	1.0675474622183991	0.0	0.0	5.69995484227914	5.69995484227914
PWY-6660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.496006415717419e-06	8.496006415717419e-06	0.0	0.0	0.0	0.0
PWY-6662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.080005354731899e-06	7.080005354731899e-06	0.0	0.0	0.0	0.0
PWY-6690	35.19038378147356	35.19038378147356	45.85834982736099	45.85834982736099	80.90975275466731	80.90975275466731	74.03740738279849	74.03740738279849	505.25145813866607	505.25145813866607	7.240528072245776	7.240528072245776	33.63690935579549	33.63690935579549	20.9416166505015	20.9416166505015	19.409959571924446	19.409959571924446
PWY-6700	19809.753590636996	19809.753590636996	25389.81950081658	25389.81950081658	20544.49082089383	20544.49082089383	15009.666693426956	15009.666693426956	26871.298021606926	26871.298021606926	25451.556008248324	25451.556008248324	18846.342479229224	18846.342479229224	15621.602538711397	15621.602538711397	19233.638698942894	19233.638698942894
PWY-6703	14253.482968574499	14253.482968574499	19707.77868159022	19707.77868159022	17104.552035408036	17104.552035408036	12553.972217070454	12553.972217070454	21205.987917488856	21205.987917488856	19914.502167137114	19914.502167137114	15989.901068766832	15989.901068766832	13938.550231572803	13938.550231572803	15677.478652149128	15677.478652149128
PWY-6708	8794.714603605864	8794.714603605864	4111.1105321642135	4111.1105321642135	3965.4342646444816	3965.4342646444816	1447.180519677774	1447.180519677774	4988.549183526997	4988.549183526997	1234.087237670595	1234.087237670595	1266.122608906204	1266.122608906204	1605.8111120507563	1605.8111120507563	1506.4925139468462	1506.4925139468462
PWY-6713	5.665460183820187	5.665460183820187	41.2101521231621	41.2101521231621	5.336431561022843	5.336431561022843	1.71461481242884	1.71461481242884	18.70147335926297	18.70147335926297	1.7384755786383108	1.7384755786383108	0.9158512169746781	0.9158512169746781	5.934504180133026	5.934504180133026	12.878788624492024	12.878788624492024
PWY-6728	43.02402637791298	43.02402637791298	2184.9165628753335	2184.9165628753335	782.0135834549716	782.0135834549716	66.67278796292857	66.67278796292857	2231.6820127509245	2231.6820127509245	1381.155547830295	1381.155547830295	126.54066860745138	126.54066860745138	1814.5658503818233	1814.5658503818233	524.4303692109881	524.4303692109881
PWY-6731	665.4319817357201	665.4319817357201	215.04131015955892	215.04131015955892	40.57046343580089	40.57046343580089	37.525102853916266	37.525102853916266	800.415565099355	800.415565099355	13.19338208865889	13.19338208865889	124.29349477276439	124.29349477276439	19.983137167584076	19.983137167584076	131.68673382823636	131.68673382823636
PWY-6737	89232.17029606325	89232.17029606325	99169.63415368386	99169.63415368386	112349.69769043752	112349.69769043752	77388.38199111534	77388.38199111534	64110.09302638517	64110.09302638517	54697.6180197302	54697.6180197302	104989.4238023453	104989.4238023453	99694.1881093648	99694.1881093648	74740.60089661127	74740.60089661127
PWY-6749	33614.24336177366	33614.24336177366	27887.524610067452	27887.524610067452	38321.18964368774	38321.18964368774	22871.3268043276	22871.3268043276	15641.594574885103	15641.594574885103	15123.098169222925	15123.098169222925	48247.06195752277	48247.06195752277	47679.58419601262	47679.58419601262	30281.338257841373	30281.338257841373
PWY-6760	0.0	0.0	5.177987464754078	5.177987464754078	0.0	0.0	4.617409575959817	4.617409575959817	40.73805658964406	40.73805658964406	0.0	0.0	8.490713816708493e-05	8.490713816708493e-05	0.0	0.0	0.0	0.0
PWY-6797	1.3385821897705206	1.3385821897705206	3.0708020650587438	3.0708020650587438	0.34456501403167894	0.34456501403167894	0.40358301254853546	0.40358301254853546	0.6889961378274779	0.6889961378274779	0.12798572031942965	0.12798572031942965	0.1870052717087908	0.1870052717087908	0.0	0.0	1.5847014667339223	1.5847014667339223
PWY-6830	0.71278762019504	0.71278762019504	1.4150964396279835	1.4150964396279835	0.15115461546794753	0.15115461546794753	0.1772412983123756	0.1772412983123756	0.4024710537879433	0.4024710537879433	0.06252701723469233	0.06252701723469233	0.09081452251179763	0.09081452251179763	0.0	0.0	0.7595284239079396	0.7595284239079396
PWY-6876	576.9768318078847	576.9768318078847	261.8788879869313	261.8788879869313	775.4471436927859	775.4471436927859	143.2664834860567	143.2664834860567	2178.788302657119	2178.788302657119	241.02147743883447	241.02147743883447	147.57489903091502	147.57489903091502	295.91297325148514	295.91297325148514	337.7380407497446	337.7380407497446
PWY-6891	6517.8089737314285	6517.8089737314285	9246.100359886239	9246.100359886239	12319.261178283572	12319.261178283572	9028.300708331295	9028.300708331295	13345.294559763715	13345.294559763715	4934.611138631329	4934.611138631329	9831.05743147503	9831.05743147503	17127.651469572862	17127.651469572862	8117.296894793741	8117.296894793741
